№ п/п,Дата обнародования информации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации об отмене решения о признании деятельности организации нежелательной на территории Российской Федерации,Дата распоряжения Минюста России о включении в перечень,Дата распоряжения Минюста России об исключении из перечня,Наименование организации,Номер распоряжения Минюста России о включении в перечень,Номер распоряжения Минюста России об исключении из перечня,Статус
1,,28.07.2015,,29.07.2015,,«Национальный фонд в поддержку демократии» (The National Endowment for Democracy),1076-р,,Включена
2,,26.11.2015,,01.12.2015,,Институт Открытое Общество Фонд Содействия (OSI Assistance Foundation),1777-р,,Включена
3,,26.11.2015,,01.12.2015,,Фонд Открытое общество (Open Society Foundation),1778-р,,Включена
4,,03.12.2015,,07.12.2015,,«Американо-российский фонд по экономическому и правовому развитию» (U.S. RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW),1821-р,,Включена
5,,10.03.2016,,17.03.2016,,Национальный Демократический Институт Международных Отношений (National Democratic Institute for International Affairs),393-р,,Включена
6,,18.08.2016,,22.08.2016,,"MEDIA DEVELOPMENT INVESTMENT FUND, Inc.",1201-р,,Включена
7,,18.08.2016,,22.08.2016,,Корпорация «Международный Республиканский Институт» (International Republican Institute),1202-р,,Включена
8,,26.04.2017,,27.04.2017,,"Open Russia Civic Movement, Open Russia (Общественное сетевое движение «Открытая Россия») (Великобритания)",556-р,,Включена
9,,26.04.2017,,27.04.2017,,OR (Otkrytaya Rossia) («Открытая Россия») (Великобритания) (с 08.11.2017 – HUMAN RIGHTS PROJECT MANAGEMENT),557-р,,Включена
10,,26.04.2017,,27.04.2017,,"Institute of Modern Russia, Inc («Институт современной России») (США)",558-р,,Включена
11,,30.06.2017,,03.07.2017,,The Black Sea Trust for Regional Cooperation (Черноморский фонд регионального сотрудничества) (Румыния),883-р,,Включена
12,,12.03.2018,,13.03.2018,,European Platform for Democratic Elections (EPDE) (Европейская Платформа за Демократические Выборы) (Федеративная Республика Германия),285-р,,Включена
13,,12.03.2018,,13.03.2018,,International elections study center (IESC) (Международный центр электоральных исследований)  (Литовская Республика),286-р,,Включена
14,,20.03.2018,,21.03.2018,,The German Marshall Fund of the United States (GMF) (Германский фонд Маршалла Соединенных Штатов) (США),335-р,,Включена
15,,24.08.2018,,28.08.2018,,Pacific Environment (PERC) (Тихоокеанский центр защиты окружающей среды и природных ресурсов) (Соединенные Штаты Америки),989-р,,Включена
16,,27.06.2019,,28.06.2019,,Free Russia Foundation (Free Russia) (Фонд «Свободная Россия») (США),814-р,,Включена
17,,11.07.2019,,17.07.2019,,Ukrainian World Congress («Всемирный конгресс украинцев») (Канада),887-р,,Включена
18,,25.07.2019,,29.07.2019,,Atlantic council of the United States (Atlantic council) («Атлантический совет») (США),945-р,,Включена
19,,07.11.2019,,12.11.2019,,"«Člověk v tísni, o.p.s» («People In Need», «Человек в беде») (Чешская Республика)",1443-р,,Включена
20,,06.03.2020,,12.03.2020,,"European Endowment for Democracy («Европейский фонд за демократию», «Европейский фонд в поддержку демократии») (Королевство Бельгия)",253-р,,Включена
21,,08.04.2020,,09.04.2020,,"The Jamestown foundation (JF), («Джеймстаунский фонд») (Соединенные Штаты Америки)",400-р,,Включена
22,,22.04.2020,,23.04.2020,,"Project Harmony, Inc. (PH International) («Прожект Хармони, Инк.») (Соединенные Штаты Америки)",458-р,,Включена
23,,17.07.2020,,21.07.2020,,Dragon Springs Buddhist Inc. («Буддистское сообщество «Родники дракона») (США),718-р,,Включена
24,,17.07.2020,,21.07.2020,,Doctors Against Forced Organ Harvesting (DAFOH) («Врачи против насильственного извлечения органов») (США),719-р,,Включена
